age,marital,dwelling,edu,foodins,weight,female,immigr,rural,children,household,joblose,finimpact,pfg,anx2,nmissingvars,finimp3,fooddich,_est_est1,_est_est2,_est_est3,_est_est4
"45 to 54 years old","Never married","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",6552.496,0,0,0,"No Child",1,"Might lose","Moderate",0,0,0,"Impact",0,1,1,1,1
"35 to 44 years old","Married/Common law","Other","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",1598.682,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Other","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",3931.776,0,0,0,"No Child",3,"Not expected","Minor",1,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",1688.23,0,0,0,"No Child",2,"Not expected","Moderate",0,1,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",3815.176,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",4459.307,0,0,0,"No Child",2,"Valid skip","Moderate",0,0,0,"Impact",0,1,1,1,1
"35 to 44 years old","Never married","Other","University certificate, diploma, degree above the BA level","Severely food insecure",7407.479,0,0,0,"No Child",3,"Valid skip","Moderate",1,0,0,"Impact",1,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",4073.251,0,1,0,"No Child",2,"Might lose","Moderate",0,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Never married","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",832.2673,0,0,0,"No Child",1,"Not expected","Moderate",0,0,0,"Impact",0,1,1,1,1
"35 to 44 years old","Never married","High-rise apartment 5 or more stories","University certificate, diploma, degree above the BA level","Food secure",5327.783,0,0,0,"No Child",1,"Not expected","Moderate",0,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",13514.42,0,0,0,"No Child",4,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",1671.508,0,0,1,"No Child",4,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",4829.481,0,0,0,"No Child",2,"Might lose","Minor",1,0,0,"Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",1851.504,0,0,0,"No Child",2,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"75 years and older","Widowed/Separated/Divorced","Single detached house","University certificate, diploma, degree above the BA level","Food secure",336.8524,0,1,0,"No Child",1,"Valid skip","No impact",1,0,1,"No Impact",0,1,1,1,1
"25 to 34 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",63625.67,0,0,0,"No Child",2,"Not expected","Too soon",0,0,0,"Too soon",0,1,1,1,1
"45 to 54 years old","Widowed/Separated/Divorced","High-rise apartment 5 or more stories","University certificate, diploma, degree above the BA level","Food secure",10535.79,0,0,0,"No Child",2,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","University certificate or diploma below the bachelor's level","Food secure",1440.543,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",31948.73,0,1,0,"No Child",3,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"25 to 34 years old","Never married","Single detached house","Trade certificate or diploma","Marginally food insecure",3217.969,0,0,1,"No Child",1,"Valid skip","Too soon",0,0,0,"Too soon",1,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",7803.768,0,1,0,"No Child",3,"Not expected","Minor",1,1,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",1786.668,0,0,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",2411.545,0,0,1,"No Child",2,"Valid skip","No impact",0,0,1,"No Impact",0,1,1,1,1
"65 to 74 years old","Widowed/Separated/Divorced","Other","University certificate or diploma below the bachelor's level","Food secure",1129.359,0,1,0,"No Child",1,"Might lose","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Other","Less than high school diploma or its equivalent","Food secure",33452.33,0,0,0,"No Child",3,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",18205.9,0,0,0,"No Child",3,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",1225.307,0,1,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","University certificate or diploma below the bachelor's level","Food secure",5660.295,0,0,1,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"25 to 34 years old","Never married","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",1774.056,0,0,0,"No Child",1,"Not expected","Major",1,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","High-rise apartment 5 or more stories","College/CEGEP/other non-university certificate or diploma","Food secure",9199.771,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Never married","Low-rise apartment less than 5 stories","High school diploma or a high school equivalency certificate","Food secure",4912.465,0,1,0,"No Child",1,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Moderately food insecure",721.4238,0,0,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",1,1,1,1,1
"25 to 34 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",3832.718,0,0,0,"No Child",3,"Not expected","Minor",1,0,0,"Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",2524.942,0,0,0,"No Child",2,"Valid skip","Too soon",0,0,0,"Too soon",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",7746.047,0,1,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Widowed/Separated/Divorced","Single detached house","High school diploma or a high school equivalency certificate","Food secure",3167.821,0,1,1,"No Child",1,"Might lose","Too soon",0,0,0,"Too soon",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",3026.292,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Other","Less than high school diploma or its equivalent","Food secure",4510.61,0,0,0,"No Child",2,"Valid skip","No impact",0,0,1,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Other","Less than high school diploma or its equivalent","Food secure",5832.371,0,0,0,"No Child",2,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",3972.12,0,0,1,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","High-rise apartment 5 or more stories","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",7936.99,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Less than high school diploma or its equivalent","Food secure",4843.548,0,0,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Widowed/Separated/Divorced","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",2264.228,0,1,0,"No Child",1,"Not expected","Major",1,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",1624.534,0,0,0,"No Child",2,"Valid skip","Minor",1,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Never married","High-rise apartment 5 or more stories","College/CEGEP/other non-university certificate or diploma","Food secure",4512.659,0,0,0,"No Child",1,"Valid skip","Major",0,0,0,"Impact",0,1,1,1,1
"35 to 44 years old","Widowed/Separated/Divorced","Low-rise apartment less than 5 stories","Less than high school diploma or its equivalent","Marginally food insecure",10358.33,0,0,0,"No Child",1,"Valid skip","Minor",1,0,1,"Impact",1,1,1,1,1
"55 to 64 years old","Widowed/Separated/Divorced","Single detached house","Trade certificate or diploma","Food secure",1313.061,0,0,1,"No Child",1,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",3647.838,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"25 to 34 years old","Never married","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",5431.2,0,0,0,"No Child",1,"Not expected","Too soon",1,1,0,"Too soon",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",2127.729,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",23175.51,0,1,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Never married","Single detached house","Less than high school diploma or its equivalent","Food secure",3596.905,0,0,1,"No Child",1,"Valid skip","Minor",1,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Other","University certificate or diploma below the bachelor's level","Food secure",3621.774,0,0,0,"No Child",4,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"35 to 44 years old","Married/Common law","Other","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",8881.338,0,0,0,"No Child",3,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",2336.644,0,0,0,"No Child",2,"Valid skip","Too soon",1,1,0,"Too soon",0,1,1,1,1
"45 to 54 years old","Never married","Low-rise apartment less than 5 stories","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",934.9178,0,0,0,"No Child",1,"Not expected","Minor",1,1,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",4737.368,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Other","High school diploma or a high school equivalency certificate","Food secure",4297.228,0,0,0,"No Child",2,"Not expected","Minor",0,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",4022.918,0,0,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",7287.682,0,0,0,"No Child",3,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"35 to 44 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",665.4406,0,0,0,"No Child",1,"Might lose","Major",0,0,0,"Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","University certificate or diploma below the bachelor's level","Food secure",1465.461,0,0,0,"No Child",4,"Valid skip","Minor",0,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Other","College/CEGEP/other non-university certificate or diploma","Food secure",3174.011,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Never married","Low-rise apartment less than 5 stories","College/CEGEP/other non-university certificate or diploma","Food secure",10121.44,0,0,0,"No Child",1,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Never married","Single detached house","High school diploma or a high school equivalency certificate","Food secure",1644.526,0,0,0,"No Child",1,"Not expected","Too soon",1,0,0,"Too soon",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",1753.428,0,0,1,"No Child",2,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",3364.606,0,0,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",9429.737,0,0,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",1425.104,0,0,1,"No Child",2,"Not expected","Minor",1,1,0,"Impact",0,1,1,1,1
"45 to 54 years old","Never married","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",756.3867,0,0,0,"No Child",1,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","Less than high school diploma or its equivalent","Food secure",5759.831,0,0,0,"No Child",3,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Widowed/Separated/Divorced","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Marginally food insecure",3605.292,0,0,0,"No Child",1,"Might lose","Major",0,0,2,"Impact",1,1,1,1,1
"45 to 54 years old","Married/Common law","High-rise apartment 5 or more stories","High school diploma or a high school equivalency certificate","Food secure",8472.969,0,0,0,"No Child",3,"Not expected","Too soon",1,1,0,"Too soon",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",641.6703,0,0,1,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",2480.643,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate or diploma below the bachelor's level","Food secure",1395.275,0,0,0,"No Child",2,"Valid skip","Minor",0,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Widowed/Separated/Divorced","High-rise apartment 5 or more stories","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",727.6621,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",2755.051,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",2628.494,0,0,0,"No Child",2,"Valid skip","Too soon",0,0,0,"Too soon",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",4732.33,0,1,0,"No Child",2,"Valid skip","No impact",0,0,1,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",3416.445,0,1,1,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"35 to 44 years old","Married/Common law","High-rise apartment 5 or more stories","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",13754.65,0,1,0,"No Child",2,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",9651.281,0,0,0,"No Child",2,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"15 to 24 years old","Never married","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Marginally food insecure",45058.19,0,0,0,"No Child",4,"Not expected","Moderate",1,0,0,"Impact",1,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",1767.68,0,0,1,"No Child",2,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Trade certificate or diploma","Marginally food insecure",2971.717,0,0,0,"No Child",3,"Not expected","Minor",0,0,0,"Impact",1,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",1367.882,0,0,0,"No Child",2,"Might lose","No impact",0,0,0,"No Impact",0,1,1,1,1
"25 to 34 years old","Never married","High-rise apartment 5 or more stories","University certificate, diploma, degree above the BA level","Food secure",10428.45,0,1,0,"No Child",1,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"35 to 44 years old","Never married","Single detached house","University certificate, diploma, degree above the BA level","Food secure",279.2082,0,0,0,"No Child",1,"Not expected","Too soon",0,0,0,"Too soon",0,1,1,1,1
"25 to 34 years old","Widowed/Separated/Divorced","High-rise apartment 5 or more stories","University certificate, diploma, degree above the BA level","Marginally food insecure",5977.438,0,1,0,"No Child",1,"Might lose","Major",0,0,0,"Impact",1,1,1,1,1
"35 to 44 years old","Never married","Low-rise apartment less than 5 stories","University certificate, diploma, degree above the BA level","Food secure",823.9699,0,0,0,"No Child",1,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",2398.894,0,0,0,"No Child",3,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Moderately food insecure",56170.52,0,0,0,"No Child",3,"Not expected","Major",0,1,0,"Impact",1,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",11300.48,0,0,1,"No Child",2,"Valid skip","No impact",1,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","University certificate or diploma below the bachelor's level","Food secure",2534.345,0,0,0,"No Child",3,"Valid skip","Too soon",0,0,0,"Too soon",0,1,1,1,1
"65 to 74 years old","Married/Common law","Other","Less than high school diploma or its equivalent","Food secure",15963.82,0,0,0,"No Child",3,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",898.6392,0,0,1,"No Child",2,"Not expected","Minor",1,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Never married","Single detached house","University certificate, diploma, degree above the BA level","Food secure",877.5374,0,1,0,"No Child",1,"Not expected","Too soon",0,0,0,"Too soon",0,1,1,1,1
"55 to 64 years old","Widowed/Separated/Divorced","Single detached house","Less than high school diploma or its equivalent","Moderately food insecure",1820.827,0,0,0,"No Child",1,"Valid skip","Major",1,1,1,"Impact",1,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",3645.159,0,0,1,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","Less than high school diploma or its equivalent","Food secure",1351.287,0,0,1,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"55 to 64 years old","Never married","High-rise apartment 5 or more stories","College/CEGEP/other non-university certificate or diploma","Food secure",10477.48,0,0,0,"No Child",1,"Valid skip","Minor",1,0,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",1521.163,0,1,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",1243.261,0,0,1,"No Child",2,"Not expected","Minor",1,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Widowed/Separated/Divorced","Low-rise apartment less than 5 stories","High school diploma or a high school equivalency certificate","Food secure",2685.285,0,0,0,"No Child",1,"Not expected","Moderate",1,1,0,"Impact",0,1,1,1,1
"25 to 34 years old","Never married","Low-rise apartment less than 5 stories","High school diploma or a high school equivalency certificate","Food secure",15741.81,0,0,0,"No Child",1,"Not expected","Minor",1,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",3839.375,0,0,0,"No Child",4,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Low-rise apartment less than 5 stories","High school diploma or a high school equivalency certificate","Food secure",23271.35,0,0,0,"No Child",2,"Not expected","Moderate",0,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Other","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",2051.323,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Other","Trade certificate or diploma","Food secure",2564.19,0,0,1,"No Child",2,"Valid skip","Minor",0,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Never married","Single detached house","Trade certificate or diploma","Food secure",11618.93,0,0,1,"No Child",1,"Valid skip","Minor",1,0,0,"Impact",0,1,1,1,1
"35 to 44 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",27175.34,0,0,0,"No Child",2,"Not expected","No impact",1,0,0,"No Impact",0,1,1,1,1
"35 to 44 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",5490.049,0,1,0,"No Child",2,"Not expected","Minor",0,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",4031.664,0,0,0,"No Child",3,"Not expected","Minor",0,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Married/Common law","Other","Trade certificate or diploma","Food secure",50787.9,0,0,1,"No Child",3,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"25 to 34 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Moderately food insecure",25302.33,0,1,0,"No Child",2,"Might lose","Moderate",1,0,0,"Impact",1,1,1,1,1
"75 years and older","Never married","Single detached house","High school diploma or a high school equivalency certificate","Food secure",1378.99,0,0,1,"No Child",2,"Valid skip","Minor",1,1,0,"Impact",0,1,1,1,1
"55 to 64 years old","Never married","Other","College/CEGEP/other non-university certificate or diploma","Food secure",14561.43,0,0,0,"No Child",1,"Not expected","No impact",1,1,0,"No Impact",0,1,1,1,1
